"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.0888101808884e-140,1.45761583416192,0.262,0.094,1.18135904626392e-136,"ct","RGS7"
1.46815430343845e-138,1.40052209252352,0.274,0.102,1.59294741923072e-134,"ct","KCNMA1"
2.83940912577503e-137,0.638929649241966,0.789,0.596,3.0807589014659e-133,"ct","PPP2R2B"
1.54300917176897e-134,1.3534632236054,0.307,0.132,1.67416495136933e-130,"ct","REV3L"
1.43434264047224e-132,1.21449881765732,0.309,0.131,1.55626176491238e-128,"ct","MACROD2"
3.03368467938094e-132,1.24861978644722,0.335,0.154,3.29154787712832e-128,"ct","FUT9"
1.94321279858039e-128,1.58611815787139,0.261,0.102,2.10838588645973e-124,"ct","SLC35F1"
1.30523056738719e-126,1.11440501477303,0.351,0.169,1.41617516561511e-122,"ct","CNTN1"
2.06710647144952e-125,1.3388103518456,0.32,0.15,2.24281052152273e-121,"ct","MDGA2"
3.55773100782809e-125,1.05492156915787,0.362,0.178,3.86013814349348e-121,"ct","NAALADL2"
2.53982611813872e-124,1.29790251845675,0.264,0.103,2.75571133818051e-120,"ct","FMN2"
1.00543453895008e-123,1.44242664758883,0.261,0.104,1.09089647476084e-119,"ct","APC"
9.57676546303647e-122,1.23499305289224,0.272,0.11,1.03907905273946e-117,"ct","GRAMD3"
2.7293807339329e-120,1.45671161722748,0.283,0.123,2.96137809631719e-116,"ct","TRPM3"
3.52949562377578e-119,0.670068863585174,0.673,0.498,3.82950275179672e-115,"ct","ADGRB3"
4.8817979011831e-119,1.27804223284436,0.328,0.16,5.29675072278366e-115,"ct","MSI2"
1.56546470851557e-114,1.0383957973352,0.297,0.131,1.69852920873939e-110,"ct","CELF2"
8.00842453811139e-110,0.725724225166968,0.48,0.286,8.68914062385086e-106,"ct","FHIT"
1.00934561523498e-109,1.26540684819763,0.341,0.18,1.09513999252995e-105,"ct","DPP6"
1.83939108563459e-109,1.09691170520006,0.286,0.128,1.99573932791353e-105,"ct","PLCB1"
9.79025985098228e-106,1.25960865389764,0.292,0.138,1.06224319383158e-101,"ct","FGF14"
3.5967327250585e-105,1.14740782960818,0.287,0.134,3.90245500668847e-101,"ct","PCDH9-AS2"
3.81889746393887e-105,1.00167791770978,0.355,0.189,4.14350374837368e-101,"ct","MAPK10"
5.29731144362818e-101,1.03658534180402,0.476,0.314,5.74758291633658e-97,"ct","SLC1A3"
3.3928179935017e-100,0.93713771053326,0.341,0.178,3.68120752294934e-96,"ct","TRPS1"
2.40581863502225e-98,1.08326957860513,0.298,0.147,2.61031321899914e-94,"ct","ZFYVE16"
1.27546151655122e-97,1.24693447677111,0.264,0.12,1.38387574545808e-93,"ct","FRMD4A"
4.86199954125864e-96,1.1596681252978,0.264,0.122,5.27526950226562e-92,"ct","PARD3B"
6.94891249776513e-96,0.648544786361323,0.529,0.347,7.53957006007516e-92,"ct","NFIA"
9.65529948744678e-96,0.863394772725741,0.371,0.206,1.04759999438798e-91,"ct","PRKCA"
1.1629190728475e-94,1.13964250142504,0.275,0.132,1.26176719403953e-90,"ct","DLGAP1"
3.54516585811957e-94,1.07733146961228,0.283,0.138,3.84650495605973e-90,"ct","LMCD1-AS1"
7.7532963297359e-92,0.962296881826711,0.302,0.153,8.41232651776345e-88,"ct","PBX1"
1.25839460167422e-91,0.641271081769806,0.55,0.372,1.36535814281653e-87,"ct","AUTS2"
3.63051400147696e-90,1.02782527643152,0.273,0.131,3.9391076916025e-86,"ct","S100B"
5.0717781954595e-90,0.626633597942354,0.491,0.313,5.50287934207356e-86,"ct","FTX"
2.92756167604479e-86,0.670514546247752,0.473,0.303,3.1764044185086e-82,"ct","FBXL7"
3.46093065254788e-86,1.0009006127571,0.274,0.136,3.75510975801445e-82,"ct","SYNE1"
4.32079512243619e-85,0.934217478418378,0.292,0.149,4.68806270784326e-81,"ct","SMYD3"
1.76127906410136e-83,1.54201824236993,0.254,0.128,1.91098778454998e-79,"ct","DSCAM"
7.30002901299946e-82,1.05401772264895,0.251,0.121,7.92053147910442e-78,"ct","FOXN3"
1.25560403684175e-81,1.55159546431298,0.268,0.143,1.3623303799733e-77,"ct","OPCML"
2.98924772067359e-80,1.04486881594476,0.283,0.149,3.24333377693084e-76,"ct","RBFOX1"
2.05997243192975e-79,1.19067303946027,0.328,0.195,2.23507008864378e-75,"ct","LRRTM4"
4.72866047417623e-79,1.0462211292432,0.252,0.124,5.13059661448121e-75,"ct","TTYH1"
4.8963644525843e-78,0.629943650865221,0.523,0.362,5.31255543105396e-74,"ct","CADM1"
7.28093272383094e-78,0.710840942697117,0.38,0.228,7.89981200535657e-74,"ct","CHD9"
7.92310853613488e-78,0.888792580451305,0.278,0.144,8.59657276170634e-74,"ct","ESRRG"
2.97998166756749e-76,0.817243315750436,0.318,0.178,3.23328010931073e-72,"ct","GRIA2"
5.67646482190922e-76,0.829802166692818,0.256,0.127,6.1589643317715e-72,"ct","PARD3"
2.73725520102681e-75,0.704510853157936,0.523,0.38,2.96992189311408e-71,"ct","ANKS1B"
1.93682251840507e-72,0.745307224918469,0.343,0.203,2.1014524324695e-68,"ct","NFIB"
4.35331893673402e-72,0.799846057653179,0.307,0.174,4.72335104635642e-68,"ct","GALNT13"
1.18508745361851e-71,0.922246162720384,0.252,0.129,1.28581988717609e-67,"ct","ADCY2"
1.86912285190766e-71,0.63974231075721,0.531,0.368,2.02799829431981e-67,"ct","DOCK4"
2.1799962402501e-69,0.795816688383783,0.388,0.249,2.36529592067136e-65,"ct","DLC1"
1.1470591960792e-68,0.743350620468275,0.3,0.167,1.24455922774594e-64,"ct","LPP"
4.61914401731717e-67,0.408013983283986,0.816,0.702,5.01177125878913e-63,"ct","DLG2"
7.50430396580777e-67,0.641304727512797,0.361,0.219,8.14216980290143e-63,"ct","MBD5"
1.75118558804572e-65,1.2443961936194,0.316,0.2,1.9000363630296e-61,"ct","CSMD1"
8.86521710715155e-65,0.658863069261717,0.361,0.224,9.61876056125943e-61,"ct","PARK2"
3.81189963823542e-64,0.819678108303195,0.276,0.153,4.13591110748543e-60,"ct","IMMP2L"
1.04780501151858e-62,0.716775440593744,0.314,0.187,1.13686843749766e-58,"ct","NAV2"
2.54644496059807e-62,0.574225313724109,0.383,0.244,2.76289278224891e-58,"ct","GNAQ"
9.11454354984479e-62,0.640424871481766,0.367,0.232,9.88927975158159e-58,"ct","CIRBP"
9.06975446654432e-61,0.678902688773649,0.325,0.197,9.84068359620059e-57,"ct","PPP1R9A"
2.28037087714081e-59,0.682341133776969,0.343,0.215,2.47420240169778e-55,"ct","ASTN2"
7.66153505566649e-59,0.702026152898827,0.307,0.184,8.31276553539814e-55,"ct","TRIM9"
4.20800088315854e-56,0.67820376081809,0.302,0.182,4.56568095822701e-52,"ct","CAMTA1"
4.73597678994749e-56,0.668869233030003,0.316,0.195,5.13853481709303e-52,"ct","FYN"
4.92228383201703e-56,0.771624807779319,0.276,0.163,5.34067795773847e-52,"ct","MEIS2"
5.03685931578745e-56,0.584182289968632,0.408,0.276,5.46499235762939e-52,"ct","FCHSD2"
2.29639376529307e-54,1.13550277106411,0.312,0.204,2.49158723534298e-50,"ct","KCNIP4"
1.5632823139213e-53,0.361620598188371,0.62,0.469,1.69616131060461e-49,"ct","WWOX"
7.30216607820198e-51,0.252146140379983,0.954,0.95,7.92285019484915e-47,"ct","PCDH9"
3.79456083661054e-50,0.601703099549101,0.318,0.201,4.11709850772244e-46,"ct","MAGI1"
1.23058920423623e-49,0.599257269498552,0.314,0.198,1.33518928659631e-45,"ct","USP39"
6.98592126747305e-48,0.872549074946844,0.258,0.159,7.57972457520826e-44,"ct","PPP1R14A"
7.08770979033382e-48,0.870703799296277,0.263,0.162,7.69016512251219e-44,"ct","PDE1A"
1.64514128092742e-47,0.668901622734459,0.255,0.151,1.78497828980625e-43,"ct","PON2"
3.04292507512503e-46,0.708164952443743,0.255,0.154,3.30157370651066e-42,"ct","NEGR1"
1.05017901531678e-45,0.598688310055402,0.35,0.238,1.1394442316187e-41,"ct","GRM3"
5.50264230238706e-45,0.575729351786042,0.299,0.19,5.97036689808996e-41,"ct","EXOC4"
5.15221691739524e-44,0.683452895479891,0.252,0.154,5.59015535537383e-40,"ct","CPEB4"
2.98849003685843e-43,0.669802363373562,0.255,0.156,3.24251168999139e-39,"ct","NBEA"
4.17915694174151e-43,0.464233753458727,0.377,0.261,4.53438528178954e-39,"ct","PSD3"
5.29920820396157e-43,0.421484021617389,0.545,0.426,5.74964090129831e-39,"ct","CDH20"
2.18014870968858e-42,0.563260993069823,0.331,0.224,2.3654613500121e-38,"ct","PPFIA2"
8.98627115737745e-42,0.428724895645215,0.412,0.293,9.75010420575454e-38,"ct","AKT3"
1.1809600114596e-41,0.528125479937741,0.272,0.17,1.28134161243366e-37,"ct","PPP3CA"
1.53750474594853e-40,0.592064401107487,0.265,0.167,1.66819264935416e-36,"ct","SBF2"
2.86323234053676e-40,0.282079965145788,0.817,0.704,3.10660708948238e-36,"ct","MAGI2"
3.71590789128457e-40,0.342861736929737,0.538,0.405,4.03176006204376e-36,"ct","NCKAP5"
4.47759139604919e-39,0.564560116907373,0.252,0.157,4.85818666471337e-35,"ct","PCM1"
3.59106933844684e-38,0.375959874446816,0.442,0.323,3.89631023221482e-34,"ct","ZSWIM6"
2.82640275094203e-37,0.30463004310673,0.515,0.39,3.0666469847721e-33,"ct","TCF4"
1.38453030120981e-34,0.587246781977623,0.272,0.183,1.50221537681265e-30,"ct","GRIA4"
2.39529797475647e-34,0.61590426082854,0.37,0.277,2.59889830261077e-30,"ct","NOVA1"
2.64741070777252e-34,0.469591469490716,0.308,0.211,2.87244061793319e-30,"ct","MED13L"
5.93925511655397e-34,0.765005638159072,0.264,0.181,6.44409180146106e-30,"ct","CSMD3"
1.00699516090911e-33,0.536826335891082,0.5,0.408,1.09258974958638e-29,"ct","NRXN3"
4.04774227173966e-33,0.525669002315777,0.311,0.218,4.39180036483753e-29,"ct","KIF13A"
8.12742803839626e-33,0.324874494994843,0.459,0.35,8.81825942165994e-29,"ct","MACF1"
1.69722681156159e-32,0.672340919262365,0.397,0.315,1.84149109054433e-28,"ct","MIR219A2"
2.26448380917195e-32,0.436876750882105,0.328,0.231,2.45696493295157e-28,"ct","EIF4G3"
5.435108956945e-32,0.414345242183377,0.334,0.238,5.89709321828533e-28,"ct","BAZ2B"
1.01597057963077e-31,0.659581510257492,0.27,0.188,1.10232807889939e-27,"ct","AK5"
1.74969062382311e-31,0.399806148009094,0.328,0.232,1.89841432684808e-27,"ct","ARID1B"
3.77899216739761e-31,0.413735413005221,0.277,0.188,4.1002065016264e-27,"ct","SORBS1"
6.02820829380942e-31,0.632470676865405,0.429,0.329,6.54060599878322e-27,"ct","CNTNAP2"
1.57073724135747e-30,0.354334494301749,0.37,0.269,1.70424990687285e-26,"ct","JMJD1C"
1.21723069419326e-29,0.480614691718496,0.268,0.183,1.32069530319969e-25,"ct","TAOK3"
1.98035860531815e-29,0.270984605729139,0.452,0.342,2.14868908677019e-25,"ct","GPHN"
6.60651127597552e-29,0.259567194029908,0.505,0.39,7.16806473443344e-25,"ct","N4BP2L2"
1.73348189936455e-28,0.35249606509917,0.414,0.314,1.88082786081053e-24,"ct","TJP1"
3.15183273648033e-28,0.379712687439636,0.359,0.265,3.41973851908116e-24,"ct","DOCK3"
9.02397710793067e-28,0.396403412438978,0.315,0.227,9.79101516210478e-24,"ct","ADD3"
1.61121357961818e-27,0.5062148226364,0.275,0.194,1.74816673388573e-23,"ct","SLC9A9"
3.22927633319278e-27,0.414792493046374,0.26,0.179,3.50376482151416e-23,"ct","NKTR"
3.32383114806126e-27,0.437748086875452,0.277,0.194,3.60635679564647e-23,"ct","SASH1"
5.26568231460812e-27,0.420726504683096,0.593,0.539,5.71326531134981e-23,"ct","NLGN1"
1.71558343620273e-26,0.44775980615313,0.289,0.206,1.86140802827996e-22,"ct","RPL10"
1.49844759929682e-25,0.390457528522988,0.282,0.201,1.62581564523705e-21,"ct","SGIP1"
5.05857592401866e-25,0.369580464727658,0.392,0.305,5.48855487756025e-21,"ct","DMD"
8.73959904776905e-25,0.366694170357547,0.288,0.206,9.48246496682942e-21,"ct","RABGAP1L"
4.76936579748714e-24,0.347744381362037,0.304,0.222,5.17476189027355e-20,"ct","NF1"
2.03096405090313e-23,0.530047496570815,0.393,0.312,2.2035959952299e-19,"ct","MEG3"
3.49558364963762e-23,0.25882225456134,0.379,0.288,3.79270825985682e-19,"ct","NCOA1"
7.69934753873108e-23,0.376640556172265,0.268,0.192,8.35379207952322e-19,"ct","ZNF280D"
2.94845976239897e-21,0.335159182323522,0.278,0.203,3.19907884220288e-17,"ct","SIPA1L1"
5.75340753434862e-21,0.334118244941853,0.332,0.254,6.24244717476825e-17,"ct","FNBP1"
1.03494061874167e-19,0.460760879395318,0.298,0.229,1.12291057133471e-15,"ct","H3F3B"
1.13557124071639e-19,0.357507789764918,0.413,0.333,1.23209479617729e-15,"ct","PLXDC2"
1.46530948003516e-19,0.342770197624994,0.254,0.185,1.58986078583815e-15,"ct","FTO"
1.84150152661523e-19,0.323111663642626,0.262,0.192,1.99802915637752e-15,"ct","ITFG1"
2.09210184306953e-19,0.346064813219287,0.498,0.43,2.26993049973044e-15,"ct","ZEB2"
4.50777413761765e-19,0.375984030640433,0.26,0.193,4.89093493931515e-15,"ct","FAM172A"
5.58234505107863e-19,0.373289050451406,0.254,0.187,6.05684438042031e-15,"ct","ANKRD44"
1.16234641863479e-18,0.281510830147789,0.285,0.213,1.26114586421874e-14,"ct","FAF1"
3.57350328618434e-18,0.305993084057745,0.266,0.198,3.87725106551e-14,"ct","TNRC6A"
2.92103439123386e-17,0.308913929740928,0.374,0.302,3.16932231448874e-13,"ct","LIMCH1"
7.20828865912445e-17,0.295035208618154,0.251,0.186,7.82099319515003e-13,"ct","FOXP1"
1.20740308932747e-16,0.352589753025754,0.325,0.262,1.3100323519203e-12,"ct","ANO4"
2.03963515607003e-16,0.346061055990009,0.281,0.218,2.21300414433598e-12,"ct","BCAS1"
2.74645545575547e-15,0.273519223658726,0.261,0.2,2.97990416949469e-11,"ct","WDFY3"
8.26946422598967e-15,0.352279572617875,0.332,0.272,8.97236868519879e-11,"ct","KCNH8"
1.1358152098868e-14,0.388483274781691,0.355,0.286,1.23235950272718e-10,"ct","TMSB4X"
1.26749777155544e-14,0.339346008782751,0.314,0.252,1.37523508213765e-10,"ct","RPL13"
1.06290624373357e-13,0.2861397872094,0.266,0.208,1.15325327445092e-09,"ct","TSC22D4"
6.2153150086866e-13,0.299250393387624,0.255,0.2,6.74361678442496e-09,"ct","TSPAN5"
1.40468921478332e-12,0.255689960489424,0.306,0.248,1.5240877980399e-08,"ct","C9orf3"
1.85012466635709e-12,0.264941271041033,0.332,0.274,2.00738526299744e-08,"ct","LRRC7"
1.63560250965896e-11,0.300676244502459,0.27,0.219,1.77462872297997e-07,"ct","MARCKSL1"
2.58361178544447e-11,0.270904511853305,0.273,0.221,2.80321878720725e-07,"ct","COBL"
2.97762298895716e-11,0.438628687633271,0.466,0.434,3.23072094301852e-07,"ct","NKAIN2"
7.68734228037163e-11,0.38991395328219,0.348,0.302,8.34076637420321e-07,"ct","MT2A"
1.89588109261137e-10,0.256138428130293,0.252,0.204,2.05703098548334e-06,"ct","RALGAPA1"
2.71549227726446e-10,0.311495777762381,0.339,0.293,2.94630912083194e-06,"ct","CREB5"
8.8311272162151e-10,0.286967577371032,0.255,0.21,9.58177302959338e-06,"ct","KAZN"
3.40686932111954e-09,0.348885632094523,0.375,0.329,3.6964532134147e-05,"ct","CLU"
7.58275256232253e-09,0.290139335555051,0.317,0.272,8.22728653011994e-05,"ct","B2M"
9.49766436233753e-08,0.349562209823236,0.272,0.234,0.00103049658331362,"ct","ADARB2"
